entity_key,window_id,model_name,wmape,mape,rmse,bias,max_forecast_deviation,avg_forecast_deviation,forecast_min,forecast_max,actual_min,actual_max,wrong_direction,forecast_collapse,forecast_overshoot,lagged_trend_change
NAM-Multitenant,5,ARIMA_Fixed,4.6870400397802445,4.469299599441227,12143334.30519761,-10700074.17250646,20147651.157658994,10700074.17250646,-17661382.654663995,827047.3096220004,1464579.3773560002,2486268.502995,False,False,False,True
EUR-Multitenant,5,ARIMA_Fixed,3.8047275375696095,3.625935408160777,8035948.462909665,-7071084.308739469,13343771.559480008,7071084.308739469,-11301207.002297008,876037.4282009997,1295942.408563,2042564.557183,False,False,False,True
AUS-Go Local,5,ARIMA_Fixed,16.938096190461344,17.285142826630693,4590358.173495835,-4037424.141593232,7645430.354436998,4037424.1415932323,-7372284.7033279985,-225836.550304,20592.696352,273273.42760000005,False,False,False,True
NAM-Multitenant,5,ETS_Current,1.1562871163908537,1.101513289159072,2950461.076236982,-2639695.3738581315,4659578.968640369,2639695.3738581315,-2173310.465645369,1459732.7179000396,1464579.3773560002,2486268.502995,False,False,False,True
APC-Multitenant,5,ARIMA_Fixed,4.672601731209065,4.46780497326574,2589860.4414980337,-2281516.376938165,4295942.455043997,2281516.376938165,-3771545.159881997,185063.16217200016,321497.93189800007,524397.2951619999,False,False,False,True
EUR-Multitenant,5,ETS_Current,0.9305835181801012,0.886732406977022,1942632.7921634624,-1729489.02343168,3080023.808623282,1729489.02343168,-1037459.2514402816,1295480.2479598552,1295942.408563,2042564.557183,False,False,False,True
APC-Dedicated,10,ETS_Current,42.947497870729336,58.15190025354224,2413.1766545413784,-2111.019793641396,4074.801459116056,2111.019793641396,-4046.504951116056,-77.22763816673717,28.275932,69.25846100000001,False,False,False,True
NAM-Multitenant,5,LinearRegression,0.4535704416867337,0.4396826708506429,1087051.3040776255,-1035458.9095279236,1306693.8584289234,1035458.9095279237,1087645.4843420768,1540792.3720052072,1464579.3773560002,2486268.502995,False,False,False,True
APC-Dedicated,10,LinearRegression,27.030003593022936,34.99407381916228,1447.4881130292908,-1328.6192545796491,2080.594359100108,1328.6192545796491,-2052.297851100108,-65.18172320569992,28.275932,69.25846100000001,False,False,False,True
NAM-Multitenant,5,FixedGrowth_1_5,0.3535078864476814,0.3402208003941057,855039.5605045203,-806976.6324549577,1000452.7246673377,807025.4517675361,1465311.6670446782,1486548.0680163405,1464579.3773560002,2486268.502995,True,False,False,True
NAM-Multitenant,5,FixedGrowth_3,0.3485573241438803,0.3355167452100114,842747.8869141535,-795626.1422804485,979216.3236956759,795723.7809056056,1466043.9567333562,1508516.7586766805,1464579.3773560002,2486268.502995,True,False,False,True
NAM-Multitenant,5,FixedGrowth_4,0.3452569492746796,0.3323807084206153,834565.3685100686,-788059.1488307759,965058.7230479014,788189.3336643187,1466532.1498591416,1523162.5524502404,1464579.3773560002,2486268.502995,True,False,False,True
AUS-Go Local,5,ETS_Current,3.284692945909517,3.092312913762533,877586.6109971217,-782306.2375599708,1391294.5628915715,782950.9555509773,-1118148.9117825716,30263.46621709688,20592.696352,273273.42760000005,True,False,False,True
NAM-Multitenant,5,FixedGrowth_6,0.338656199536278,0.326108634841823,818230.2536346763,-772925.1619314305,936743.5217523519,773120.4391817445,1467508.5361107122,1552454.1399973603,1464579.3773560002,2486268.502995,True,False,False,True
NAM-ITAR DoD,4,FixedGrowth_6,0.1804713679896165,32.698066780197074,13727.129041922502,5621.578011818114,37701.16434882,5621.578011818114,35736.699935394,37805.29134882,104.127,36084.705231,False,False,False,True
NAM-ITAR DoD,4,ETS_Current,0.1806243715306754,32.697312654852375,13726.96700434783,5626.34398301747,37699.5878333312,5626.34398301747,35747.80839328151,37803.7148333312,104.127,36084.705231,False,False,False,True
NAM-ITAR DoD,4,FixedGrowth_4,0.1686399381778874,32.09587276973705,13465.217730536966,5253.035863449113,36987.85696488,5253.035863449113,35712.923022596,37091.98396488,104.127,36084.705231,False,False,False,True
NAM-ITAR DoD,4,ARIMA_Fixed,0.163777696513034,31.848395258178712,13359.96090480958,5101.579867211205,36694.71632700018,5101.579867211205,35703.151668000006,36798.84332700018,104.127,36084.705231,False,False,False,True
NAM-ITAR DoD,4,FixedGrowth_3,0.1627242232720229,31.79477576450704,13337.343421605665,5068.764789264615,36631.20327291,5068.764789264615,35701.034566197,36735.33027291,104.127,36084.705231,False,False,False,True
NAM-ITAR GCCH,4,ETS_Current,0.1992802661652142,31.6660048914552,9027.255644547164,3972.6526828905776,24733.480115377064,3972.6526828905776,23008.43604010965,24806.875115377065,73.395,23206.450367,False,False,False,True
NAM-SDF,3,FixedGrowth_6,0.2140977696640685,31.56142729456161,739.2650579004925,344.2680763253331,1917.4316923119995,344.2680763253331,1897.3494566639995,2007.1760719199997,6.427637,1940.376794,False,False,False,True
NAM-SDF,3,FixedGrowth_4,0.2019860714677928,31.408464865427515,734.878123522913,324.70126556133295,1907.3326932079997,324.79252996346634,1896.0870817759996,1969.3048252799997,6.427637,1940.376794,False,False,False,True
NAM-ITAR DoD,4,LinearRegression,0.1572318882381903,31.34640337578246,13149.003085953458,4732.501576376507,36115.96298433787,4897.6817515302955,35550.96063009575,36220.08998433787,104.127,36084.705231,False,False,False,True
NAM-ITAR DoD,4,FixedGrowth_1_5,0.1553863480271687,31.34445986526817,13149.552533796956,4792.358177987863,36096.222734955,4840.1942487436945,35683.2018815985,36200.349734955,104.127,36084.705231,False,False,False,True
NAM-SDF,3,FixedGrowth_3,0.1972629781830319,31.33308886167044,732.9318226502143,314.91786017933305,1902.2831936559996,317.1978210507998,1895.455894332,1950.36920196,6.427637,1940.376794,False,False,False,True
NAM-SDF,3,FixedGrowth_1_5,0.1911773515598656,31.220860651036727,730.32507360464,300.242752106333,1894.7089443279997,307.41216576779976,1894.5091131659997,1921.9657669799997,6.427637,1940.376794,False,False,False,True
NAM-ITAR GCCH,4,FixedGrowth_6,0.1861979324300286,31.04838137904225,8835.949512778881,3711.8563220082224,24238.60380686,3711.8563220082224,22981.719626862,24311.99880686,73.395,23206.450367,False,False,False,True
NAM-ITAR GCCH,4,ARIMA_Fixed,0.175697073991978,30.5433811206932,8683.977871220144,3502.521678647244,23833.43998100004,3502.521678647244,22968.214166,23906.83498100004,73.395,23206.450367,False,False,False,True
NAM-ITAR GCCH,4,FixedGrowth_4,0.1743091073717257,30.476631958618277,8664.187790518235,3474.852560054555,23779.88684824,3474.852560054555,22966.42906157467,23853.28184824,73.395,23206.450367,False,False,False,True
NAM-SDF,3,LinearRegression,0.2128231438509873,30.294304280422917,711.05240366455,232.37592761270588,1837.696376190343,342.2184847887533,1787.578320764021,1881.3167704991768,6.427637,1940.376794,False,False,False,True
NAM-ITAR GCCH,4,FixedGrowth_3,0.1683721983162844,30.19076371776436,8580.238225752564,3356.3506790777224,23550.52836893,3356.5002608478558,22958.783778931,23623.92336893,73.395,23206.450367,False,False,False,True
NAM-ITAR GCCH,4,FixedGrowth_1_5,0.1616347476102669,29.76382788939736,8456.836047016865,3178.597857612473,23206.490649965,3222.18916151947,22947.3158549655,23279.885649965,73.395,23206.450367,True,False,False,True
NAM-SDF,3,ETS_Current,0.3292069204531699,29.36009481418372,752.5954593289338,27.15309129194531,1788.1353106675224,529.3629793305621,1391.7908764765912,1878.5046820406328,6.427637,1940.376794,False,False,False,True
NAM-ITAR GCCH,4,LinearRegression,0.159961429665068,28.861594393871545,8203.79871093158,2801.198248403498,22468.99924121322,3188.83156343792,22542.39424121322,22931.717817724453,73.395,23206.450367,True,False,False,True
NAM-SDF,3,ARIMA_Fixed,0.3867459272018642,28.614749602880256,794.4432409568874,-79.48111746667522,1745.7999359999965,621.8853965333406,1187.016341999984,1870.010798999999,6.427637,1940.376794,False,False,False,True
EUR-Multitenant,5,FixedGrowth_1_5,0.297313370863552,0.2865521486251646,589723.5244251398,-552513.5594621035,727830.9836958365,552556.757542389,1296590.3797672817,1315381.5446914448,1295942.408563,2042564.557183,True,False,False,True
APC-Multitenant,5,ETS_Current,1.1210515984659697,1.0695434848865868,612214.9544731722,-547381.8930917096,963830.5121206341,547381.8930917096,-439433.2169586342,321220.1869415485,321497.93189800007,524397.2951619999,False,False,False,True
EUR-Multitenant,5,FixedGrowth_3,0.2919324948023216,0.281440242142156,578644.9917452553,-542470.0057957402,709290.9520912359,542556.4019563111,1297238.350971563,1334820.68081989,1295942.408563,2042564.557183,True,False,False,True
EUR-Multitenant,5,FixedGrowth_4,0.2883452440948345,0.278032304486817,571268.633573103,-535774.303351498,697195.4896113146,535889.4982322591,1297670.3317744173,1347780.10490552,1295942.408563,2042564.557183,True,False,False,True
EUR-Multitenant,5,FixedGrowth_6,0.2811707426798607,0.271216429176139,556539.6452990989,-522382.89846301376,673004.564651472,522555.69078415545,1298534.293380126,1373698.9530767798,1295942.408563,2042564.557183,True,False,False,True
APC-Dedicated,10,ARIMA_Fixed,16.23823677333734,21.99385497882237,913.2910948606929,-798.1661550000002,1546.8492489999999,798.1661550000002,-1518.552741,20.527429,28.275932,69.25846100000001,False,False,False,True
NAM-TDF,3,ETS_Current,0.2771592628849069,18.87335305339296,22.20518822814787,12.131347992196847,54.52024435916623,12.131347992196849,53.71812114167099,58.08520304272271,0.252,53.519756,False,False,False,True
NAM-TDF,3,FixedGrowth_6,0.2608090729236964,18.7406215435142,21.95217219184599,11.415695042,54.131108911999995,11.415695042,53.633735364,56.73828292,0.252,53.519756,False,False,False,True
NAM-TDF,3,FixedGrowth_4,0.2481724478798442,18.64399406691585,21.78169349968536,10.862585994666665,53.84563327466667,10.862585994666663,53.59805090933333,55.66774928,0.252,53.519756,False,False,False,True
NAM-TDF,3,FixedGrowth_3,0.2418541353579183,18.59568032861667,21.7028873855689,10.586031471000002,53.702895456,10.586031471000002,53.580208682,55.13248246,0.252,53.519756,False,False,False,True
NAM-TDF,3,FixedGrowth_1_5,0.2323766665750292,18.523209721167916,21.59285272242442,10.1711996855,53.488788727999996,10.171199685500001,53.553445341,54.32958223,0.252,53.519756,False,False,False,True
NAM-TDF,3,ARIMA_Fixed,0.2228991977921402,18.45073911371915,21.492760395497804,9.756367900000004,53.274682,9.756367900000004,53.526682,53.526682,0.252,53.519756,False,True,False,True
NAM-TDF,3,LinearRegression,0.2134653633029113,17.9719221325555,20.948623614714982,8.467860976025797,51.86777474910611,9.343446001239045,51.852532835421776,53.24843594515988,0.252,53.519756,True,False,False,True
EUR-Multitenant,10,ARIMA_Fixed,0.1882270667089297,0.1885362994515612,467672.9212379504,-410916.8696515712,754969.6987470086,410916.86965157115,1386510.6801839918,2157838.1581439995,2141480.3789310004,2209839.417992,False,False,False,True
EUR-Multitenant,5,LinearRegression,0.198667820867306,0.1954261873774071,385866.80785525584,-369224.05005737423,513125.34673988353,369224.05005737423,1154099.3937117772,1668358.4253009784,1295942.408563,2042564.557183,False,False,False,True
EUR-Multitenant,11,ARIMA_Fixed,0.1350993540064071,0.1346874502476143,330009.7155892092,-300151.0440801639,534024.9668599949,300151.0440801639,1715818.2510810052,2127291.6413360005,2141480.3789310004,2249843.217941,False,False,False,True
NAM-ITAR GCCH,5,ETS_Current,3.067943969408225,12.6874457822772,67312.14665045211,-60929.03259124337,102843.40470525934,60929.03259124337,-78826.60418325933,-3311.679152627419,73.395,24016.800522,False,False,False,True
LAM-Multitenant,5,ARIMA_Fixed,1.6582276382866783,1.6280526667466455,320675.45974743523,-283997.8071814008,528073.0609400013,283997.80718140077,-351991.8541100013,126527.98945899996,143028.67372000002,176081.20683,False,False,False,True
NAM-ITAR DoD,5,ETS_Current,3.130557532687591,12.040311840025112,104829.40325057627,-94605.09071773267,160218.89943321323,94605.09071773269,-123569.05599021324,-5201.354107452128,104.127,36649.843443000005,False,False,False,True
IND-Go Local,5,ARIMA_Fixed,0.7619054020056925,0.7537517235572212,276226.81158393214,-243294.10396423528,458779.7684070035,243294.10396423526,-132238.6085020036,284296.8869319998,298660.17987799994,326541.1599049999,False,False,False,True
CAN-Go Local,5,ARIMA_Fixed,1.5057815488103203,1.4875602632957607,264112.2437224529,-232580.27904206797,439806.9624600024,232580.27904206794,-281854.6040490024,125610.40800399984,139660.92566099993,158083.31233800005,False,False,False,True
AUS-Go Local,5,FixedGrowth_1_5,0.9129413604053036,0.827323671522559,231237.78181760025,-217611.22502850532,252413.02619542406,217611.91145171705,20602.992700176,20901.58679728,20592.696352,273273.42760000005,True,False,False,True
AUS-Go Local,5,FixedGrowth_3,0.9122747022816188,0.8266693888289167,231068.2154911568,-217451.6316317773,252145.32114284806,217453.00447820078,20613.289048352,21210.47724256,20592.696352,273273.42760000005,True,False,False,True
AUS-Go Local,5,FixedGrowth_4,0.911830263532496,0.8262332003664885,230955.1824820221,-217345.2360339587,251966.85110779738,217347.06649585665,20620.15328046933,21416.40420608,20592.696352,273273.42760000005,True,False,False,True
AUS-Go Local,5,FixedGrowth_6,0.9109413860342496,0.825360823441632,230729.14342344084,-217132.44483832127,251609.91103769606,217135.19053116825,20633.881744704,21828.25813312,20592.696352,273273.42760000005,True,False,False,True
EUR-Multitenant,11,ETS_Current,0.0838236310099761,0.0835804651050756,200910.51709807376,-186231.4631426108,315486.5583717257,186231.46314261082,1934356.6595692744,2136592.394722837,2141480.3789310004,2249843.217941,False,False,False,True
JPN-Go Local,5,ARIMA_Fixed,0.6094336330635547,0.6061859003088599,196238.43353996423,-173129.9944452977,325935.8908999956,173129.9944452977,-39063.16540199553,260970.02865900024,271316.0008680001,286872.72549800004,False,False,False,True
EUR-Multitenant,3,ARIMA_Fixed,0.0996511508560027,0.0989058655861733,194148.73838898516,-172573.39892860272,308072.3317900053,172573.39892860272,1452767.0546849947,1665636.6924579998,1672977.024795,1769709.42709,False,False,False,True
APC-Multitenant,5,FixedGrowth_1_5,0.3364833886477537,0.3230603786117974,174763.3474978725,-164285.83721295706,198076.8942855298,164296.553810687,321658.68086394906,326320.4008764701,321497.93189800007,524397.2951619999,True,False,False,True
ITA-Go Local,5,LinearRegression,6.987618038733518,6.677142101016971,172569.12846477874,68168.74666243176,490167.6553818688,102891.37106047952,-35472.725963916535,505801.5184548688,10987.826948,15633.863073000002,True,False,True,True
NAM-Multitenant,10,ARIMA_Fixed,0.0591197492851153,0.0590935686354647,181158.51285306943,-161811.04005732542,282890.8380309879,161811.04005732542,2441130.267010015,2709257.337083001,2715569.204609,2762812.5946100005,False,False,False,True
APC-Multitenant,5,FixedGrowth_3,0.3314024599631682,0.3182160353391011,172084.88616120446,-161794.22824074762,193254.42530705984,161815.66143620748,321819.42982989806,331142.86985494004,321497.93189800007,524397.2951619999,True,False,False,True
APC-Multitenant,5,FixedGrowth_4,0.3280151741734445,0.3149864731573036,170302.4090311985,-160133.1555926079,190039.44598807982,160161.73318655437,321926.5958071974,334357.84917392005,321497.93189800007,524397.2951619999,True,False,False,True
APC-Multitenant,5,FixedGrowth_6,0.3212406025939974,0.3085273487937087,166745.41298953712,-156811.0102963286,184987.05414144794,156853.87668724835,322140.92776179605,340787.8078118801,321497.93189800007,524397.2951619999,True,False,False,True
NAM-Multitenant,11,ETS_Current,0.0557735021842821,0.0556338955332363,166046.47397126732,-156571.22086236582,247171.2931653629,156571.22086236582,2590175.718431637,2711219.737967231,2715569.204609,2837347.011597,False,False,False,True
GBR-Dedicated,5,ARIMA_Fixed,6.605733184947521,6.369680114673944,7566.337774070732,-6662.275928966666,12599.947257,6662.275928966666,-11539.14483,231.712266,637.60389,1060.802427,False,False,False,True
NAM-Multitenant,3,ARIMA_Fixed,0.0672158890282921,0.0668075413705235,170692.52459194008,-150410.5601201019,278209.21561200405,150410.5601201019,1995096.6821999964,2179528.771116,2185888.49832,2282932.801913,False,False,False,True
NAM-Multitenant,4,FixedGrowth_6,0.0428998914774749,0.0510180868682099,201823.5958753517,94768.03133850572,945124.8743247204,96482.29991693121,2277852.5096076243,2409704.2516807206,1464579.3773560002,2328597.549843,False,False,False,True
NAM-Multitenant,8,ARIMA_Fixed,0.0527915746062437,0.052598509143988,154486.99606699118,138345.24170542316,252266.80468998058,138854.8659538232,2612395.384791,2924788.5386999804,2543457.5751340003,2672521.73401,True,False,False,True
NAM-Dedicated,5,ARIMA_Fixed,1.5024473476738367,1.481914425073651,155769.23705734208,-137090.46844049974,258813.96880199955,137090.46844049974,-165789.24987399954,74097.86066700003,82369.82999600001,93024.71892800002,False,False,False,True
NAM-GCC Low,5,ARIMA_Fixed,0.7027778577246545,0.697964781906443,153336.84696700424,-135123.99688159736,255001.8507269949,135123.99688159736,-60133.06671199488,174427.62902500018,182515.928878,194868.784015,False,False,False,True
EUR-Multitenant,6,LinearRegression,0.0632178227374922,0.0631707888290574,136254.5330713844,-131420.94076124387,186885.00600047782,131420.94076124387,1878616.9295525225,2016806.518870165,2035191.033787,2116621.591286,False,False,False,True
NAM-Multitenant,6,LinearRegression,0.052284787796005,0.0522626615001818,141546.19941087937,-130748.56368819052,261018.0086001642,130748.56368819052,2247219.720799836,2443941.393578157,2455443.4733780003,2552480.120879,False,False,False,True
NAM-Multitenant,4,FixedGrowth_4,0.0333663502956169,0.0411458800804159,184961.32567804976,71277.20372778171,899658.7563684802,75041.26713340072,2276336.9723424166,2364238.1337244804,1464579.3773560002,2328597.549843,False,False,False,True
NAM-Multitenant,4,FixedGrowth_3,0.0301144500869215,0.0376794799311986,177461.47397258328,59531.78992241972,876925.6973903603,67727.70990913548,2275579.2037098124,2341505.0747463605,1464579.3773560002,2328597.549843,False,False,False,True
NAM-Multitenant,12,ARIMA_Fixed,0.0424818305193353,0.0423693924296028,136581.0781470866,121305.89122876988,226189.0628400063,121305.89122876989,2846342.8767170003,3107222.9651970062,2835422.264303,2883506.228193999,False,False,False,True
GBR-Go Local,5,ARIMA_Fixed,0.4953782293742653,0.4887885329755166,136485.18081846996,-120229.04518286607,225810.0242139989,120229.04518286607,24664.707643001107,220280.22559500008,227025.58828300005,250474.731857,False,False,False,True
NAM-Multitenant,4,ETS_Current,0.0276203205570034,0.0348917463272409,169465.46564339852,45956.5938711694,849766.590768178,62118.38678384093,2275587.9182294942,2314345.9681241782,1464579.3773560002,2328597.549843,False,False,False,True
NAM-Multitenant,4,FixedGrowth_1_5,0.0274751938351714,0.0346566678347419,167612.7895210561,41913.6692143767,842826.10892318,61791.99528447984,2274442.5507609067,2307405.4862791803,1464579.3773560002,2328597.549843,False,False,False,True
NAM-Multitenant,4,LinearRegression,0.0274804530352018,0.0345468619491987,165667.24103717954,34876.52183670537,835076.7958344528,61803.8232797774,2272700.7794926884,2299656.173190453,1464579.3773560002,2328597.549843,True,False,False,True
NAM-Multitenant,7,ARIMA_Fixed,0.0453106432714606,0.0451668876903704,131748.78104810923,-115859.42598926756,244150.62259600172,115859.42598926755,2357472.5844739983,2524813.469421,2527402.1398769994,2601623.20707,False,False,False,True
GBR-Go Local,10,ARIMA_Fixed,0.4282789973617708,0.427507103276258,126453.77086075585,-110631.94796663384,210716.13793800087,110631.94796663383,46477.73270599908,248893.315629,253797.796643,262556.59338800004,False,False,False,True
NAM-ITAR DoD,5,LinearRegression,0.6685209703421836,4.720554808212552,21328.15192614903,-18915.145092146173,26429.176416332557,20202.62729100288,2873.489985825062,15506.956635137363,104.127,36649.843443000005,True,False,False,True
NAM-Multitenant,4,ARIMA_Fixed,0.0317645415106938,0.0380933058467769,155248.7728058626,11036.484767833414,783063.8164459998,71438.78259849992,2247643.193802,2272450.4743450005,1464579.3773560002,2328597.549843,True,False,False,True
APC-Multitenant,5,LinearRegression,0.2216213801788162,0.2170149830278967,112697.11406053782,-108212.26319812473,151726.29767976073,108212.26319812473,292130.01666929765,412875.28084368666,321497.93189800007,524397.2951619999,False,False,False,True
NAM-Multitenant,6,ETS_Current,0.0418657832366867,0.04178027726807,115377.4219024248,104693.76001361843,184944.79560782155,104693.76001361845,2495258.682531949,2715528.6403718214,2455443.4733780003,2552480.120879,False,False,False,True
NAM-Multitenant,11,ARIMA_Fixed,0.033541133543966,0.0334787455961592,96906.59364788634,-94158.98271431094,126537.62297802139,94158.98271431094,2710809.3886189787,2715410.5440759994,2715569.204609,2837347.011597,False,False,False,True
DEU-Go Local,5,ARIMA_Fixed,1.142429771805803,1.13069240647536,100635.03506172403,-88643.93515926636,167531.0865559994,88643.93515926636,-88335.27841899943,66232.32597800004,71562.24337100002,79195.80813699999,False,False,False,True
LAM-Multitenant,5,ETS_Current,0.5153555861225543,0.5061863108811889,97543.96995970087,-88262.82531915435,151915.22077372108,88262.82531915435,24165.986056278925,141840.11301721237,143028.67372000002,176081.20683,False,False,False,True
NAM-Multitenant,8,ETS_Current,0.0314766975508052,0.0314017289845386,91084.36864942843,81402.11071813559,144800.35783846444,82791.48049069867,2605975.569667941,2817322.091848464,2543457.5751340003,2672521.73401,True,False,False,True
EUR-Multitenant,4,FixedGrowth_6,0.0245298253034889,0.0287132225226049,114498.43673442544,41417.33359285836,570547.3411005002,43516.108138835065,1764361.06524795,1866489.7496635,1295942.408563,1848520.10979,True,False,False,True
AUS-Go Local,5,LinearRegression,0.3440685601809461,0.4124044590951389,85065.30629381482,-79453.07760926941,104770.29731682022,82013.39132907234,-7476.327559440875,193574.8768480061,20592.696352,273273.42760000005,False,False,False,True
EUR-Multitenant,9,FixedGrowth_6,0.0340773520461216,0.0340913086590989,84328.90104467577,74909.97504735466,152646.81322245998,74909.97504735466,2209204.3731581825,2337082.47060646,2179898.890747,2211033.156624,False,False,False,True
EUR-Multitenant,4,FixedGrowth_4,0.0227712046499822,0.0265638828066966,104850.681451465,23221.99326594997,535330.5533710001,40396.300900652175,1763187.1723236337,1831272.961934,1295942.408563,1848520.10979,True,False,False,True
EUR-Multitenant,4,ARIMA_Fixed,0.0228262082578116,0.0265801199431831,104170.70351715712,21649.30213963548,532286.635062004,40493.8777450331,1763085.7083800002,1828229.043625004,1295942.408563,1848520.10979,True,False,False,True
